REGIONE;PROVINCIA;COMUNE;RAGIONE SOCIALE;PARTITA IVA;ID_SOGGETTO;INDIRIZZO;SITO WEB;NUMERO DI PRONTO INTERVENTO;STATO;TIPO GAS;CODICE PDR
Abruzzo;AQ;Ateleta;ADISTRIBUZIONEGAS S.R.L.;01655600664;1030;Via Luigi Galvani 17/A - Forlì ( Forlì-Cesena );http://www.adistribuzionegas.it;800582475;Attivo;Gas naturale;1572
Abruzzo;AQ;Capestrano;MEDITERRANEA ENERGIA;03765640408;2130;Via Luigi Galvani 17/B - Forlì ( Forlì-Cesena );https://www.mediterraneaenergia.net;800050625;Attivo;Gas naturale;2130
Abruzzo;AQ;Lecce nei Marsi;ITALGAS RETI S.P.A.;00489490011;807;Largo Regio Parco 11 - Torino ( Torino );http://www.italgas.it;800.900.999;Attivo;Gas naturale;0088
Abruzzo;AQ;Luco dei Marsi;ITALGAS RETI S.P.A.;00489490011;807;Largo Regio Parco 11 - Torino ( Torino );http://www.italgas.it;800.900.999;Attivo;Gas naturale;0088
Abruzzo;AQ;Magliano de' Marsi;ITALGAS RETI S.P.A.;00489490011;807;Largo Regio Parco 11 - Torino ( Torino );http://www.italgas.it;800900999;Attivo;Gas naturale;0088
Abruzzo;AQ;Oricola;ITALGAS RETI S.P.A.;00489490011;807;Largo Regio Parco 11 - Torino ( Torino );http://www.italgas.it;800.900.999;Attivo;Gas naturale;0088
Abruzzo;AQ;Tione degli Abruzzi;VERDUCCI DISTRIBUZIONE S.R.L.;01501970675;65;Via S.S. 553 PER ATRI - KM. 13+400 - ZONA INDUSTRIALE SNC - Notaresco ( Teramo );http://www.verduccidistribuzione.eu;800469999;Attivo;Gas naturale;0769
Abruzzo;AQ;Villa Sant'Angelo;MEDITERRANEA ENERGIA;03765640408;2130;Via Luigi Galvani 17/B - Forlì ( Forlì-Cesena );https://www.mediterraneaenergia.net;800050625;Attivo;Gas naturale;2130
Abruzzo;CH;Archi;ADISTRIBUZIONEGAS S.R.L.;01655600664;1030;Via Luigi Galvani 17/A - Forlì ( Forlì-Cesena );http://www.adistribuzionegas.it;800 134 005;Attivo;Gas naturale;1572
Abruzzo;CH;Ari;ADISTRIBUZIONEGAS S.R.L.;01655600664;1030;Via Luigi Galvani 17/A - Forlì ( Forlì-Cesena );http://www.adistribuzionegas.it;800 134 005;Attivo;Gas naturale;1572
Abruzzo;CH;Bomba;MEDITERRANEA ENERGIA;03765640408;2130;Via Luigi Galvani 17/B - Forlì ( Forlì-Cesena );https://www.mediterraneaenergia.net;800050625;Attivo;Gas naturale;2130
Abruzzo;CH;Casoli;ADISTRIBUZIONEGAS S.R.L.;01655600664;1030;Via Luigi Galvani 17/A - Forlì ( Forlì-Cesena );http://www.adistribuzionegas.it;800 134 005;Attivo;Gas naturale;1572
Abruzzo;CH;Fallo;SANGROGEST S.R.L.;02029550692;1721;Via G.MARCONI 38 - Quadri ( Chieti );http://www.sangrogest.it;800913377;Attivo;Gas naturale;1097
Abruzzo;CH;Fara Filiorum Petri;ITALGAS RETI S.P.A.;00489490011;807;Largo Regio Parco 11 - Torino ( Torino );http://www.italgas.it;800.900.999;Attivo;Gas naturale;0088
Abruzzo;CH;Fossacesia;ADISTRIBUZIONEGAS S.R.L.;01655600664;1030;Via Luigi Galvani 17/A - Forlì ( Forlì-Cesena );http://www.adistribuzionegas.it;800 134 005;Attivo;Gas naturale;1572
Abruzzo;CH;Gamberale;SANGROGEST S.R.L.;02029550692;1721;Via G.MARCONI 38 - Quadri ( Chieti );http://www.sangrogest.it;800913377;Attivo;Gas naturale;1097
Abruzzo;CH;Guardiagrele;ITALGAS RETI S.P.A.;00489490011;807;Largo Regio Parco 11 - Torino ( Torino );http://www.italgas.it;800.900.999;Attivo;Gas naturale;0088
Abruzzo;CH;Lama dei Peligni;MEDITERRANEA ENERGIA;03765640408;2130;Via Luigi Galvani 17/B - Forlì ( Forlì-Cesena );https://www.mediterraneaenergia.net;800050625;Attivo;Gas naturale;2130
Abruzzo;CH;Lanciano;ITALGAS RETI S.P.A.;00489490011;807;Largo Regio Parco 11 - Torino ( Torino );http://www.italgas.it;800.900.999;Attivo;Gas naturale;0088
Abruzzo;CH;Montebello sul Sangro;MEDITERRANEA ENERGIA;03765640408;2130;Via Luigi Galvani 17/B - Forlì ( Forlì-Cesena );https://www.mediterraneaenergia.net;800050625;Attivo;Gas naturale;2130
Abruzzo;CH;Mozzagrogna;ADISTRIBUZIONEGAS S.R.L.;01655600664;1030;Via Luigi Galvani 17/A - Forlì ( Forlì-Cesena );http://www.adistribuzionegas.it;800 134 005;Attivo;Gas naturale;1572
Abruzzo;CH;Paglieta;PUBLIRETI S.R.L.;02034930699;95;Piazza Municipio 1 - Atessa ( Chieti );http://www.publireti.net;0872850427;Attivo;Gas naturale;1528
Abruzzo;CH;Pietraferrazzana;MEDITERRANEA ENERGIA;03765640408;2130;Via Luigi Galvani 17/B - Forlì ( Forlì-Cesena );https://www.mediterraneaenergia.net;800050625;Attivo;Gas naturale;2130
Abruzzo;CH;San Vito Chietino;PUBLIRETI S.R.L.;02034930699;95;Piazza Municipio 1 - Atessa ( Chieti );http://www.publireti.net;800992756;Attivo;Gas naturale;1528
Abruzzo;CH;Santa Maria Imbaro;ADISTRIBUZIONEGAS S.R.L.;01655600664;1030;Via Luigi Galvani 17/A - Forlì ( Forlì-Cesena );http://www.adistribuzionegas.it;800 134 005;Attivo;Gas naturale;1572
Abruzzo;CH;Scerni;COMUNE DI SCERNI;00236730693;1326;Via IV° NOVEMBRE 18 - Scerni ( Chieti );http://www.comunediscerni.com;0873914993;Attivo;Gas naturale;0451
Abruzzo;CH;Taranta Peligna;MEDITERRANEA ENERGIA;03765640408;2130;Via Luigi Galvani 17/B - Forlì ( Forlì-Cesena );https://www.mediterraneaenergia.net;800050625;Attivo;Gas naturale;2130
Abruzzo;CH;Tornareccio;MEDITERRANEA ENERGIA;03765640408;2130;Via Luigi Galvani 17/B - Forlì ( Forlì-Cesena );https://www.mediterraneaenergia.net;800050625;Attivo;Gas naturale;2130
Abruzzo;CH;Tufillo;ADISTRIBUZIONEGAS S.R.L.;01655600664;1030;Via Luigi Galvani 17/A - Forlì ( Forlì-Cesena );http://www.adistribuzionegas.it;800 134 005;Attivo;Gas naturale;1572
Abruzzo;PE;Bussi sul Tirino;ITALGAS RETI S.P.A.;00489490011;807;Largo Regio Parco 11 - Torino ( Torino );http://www.italgas.it;800900999;Attivo;Gas naturale;0088
Abruzzo;PE;Civitaquana;ITALGAS RETI S.P.A.;00489490011;807;Largo Regio Parco 11 - Torino ( Torino );http://www.italgas.it;800900999;Attivo;Gas naturale;0088
Abruzzo;PE;Farindola;MEDITERRANEA ENERGIA;03765640408;2130;Via Luigi Galvani 17/B - Forlì ( Forlì-Cesena );https://www.mediterraneaenergia.net;800050625;Attivo;Gas naturale;2130
Abruzzo;PE;Montesilvano;ITALGAS RETI S.P.A.;00489490011;807;Largo Regio Parco 11 - Torino ( Torino );http://www.italgas.it;800900999;Attivo;Gas naturale;0088
Abruzzo;TE;Castiglione Messer Raimondo;ITALGAS RETI S.P.A.;00489490011;807;Largo Regio Parco 11 - Torino ( Torino );http://www.italgas.it;800900999;Attivo;Gas naturale;0088
Abruzzo;TE;Corropoli;CITIGAS SOCIETA' COOPERATIVA S.P.A.;00230490674;1197;Zona Industriale Artigianale Frazione Colleranesco Snc - Giulianova ( Teramo );http://www.citigas.it;0858000700;Attivo;Gas naturale;1593
Abruzzo;TE;Cortino;GOLDENGAS;00080300429;1861;Via Giordano Bruno 20/4 - Senigallia ( Ancona );http://www.goldengas.it;800998380;Attivo;GPL;
Abruzzo;TE;Nereto;COSEV SERVIZI S.P.A;00446820672;902;Via VIA F. PETRARCA 6 - Nereto ( Teramo );http://www.cosev.it;800258399;Attivo;Gas naturale;1115
Abruzzo;TE;Sant'Omero;COSEV SERVIZI S.P.A;00446820672;902;Via VIA F. PETRARCA 6 - Nereto ( Teramo );http://www.cosev.it;800258399;Attivo;Gas naturale;1115
Abruzzo;TE;Torricella Sicura;ITALGAS RETI S.P.A.;00489490011;807;Largo Regio Parco 11 - Torino ( Torino );http://www.italgas.it;800.900.999;Attivo;Gas naturale;0088
Abruzzo;TE;Valle Castellana;INTERLAGA SRL;01041810670;22666;Via GIORGIO ROMANI SNC - Torricella Sicura ( Teramo );http://www.interlaga.it;0861554055;Attivo;Gas naturale;6148
Basilicata;PZ;Abriola;ITALGAS RETI S.P.A.;00489490011;807;Largo Regio Parco 11 - Torino ( Torino );http://www.italgas.it;800900999;Attivo;Gas naturale;0088
Basilicata;PZ;Atella;ITALGAS RETI S.P.A.;00489490011;807;Largo Regio Parco 11 - Torino ( Torino );http://www.italgas.it;800.900.999;Attivo;Gas naturale;0088
Basilicata;PZ;Balvano;ITALGAS RETI S.P.A.;00489490011;807;Largo Regio Parco 11 - Torino ( Torino );http://www.italgas.it;800.900.999;Attivo;Gas naturale;0088
Basilicata;PZ;Banzi;ITALGAS RETI S.P.A.;00489490011;807;Largo Regio Parco 11 - Torino ( Torino );http://www.italgas.it;800900999;Attivo;Gas naturale;0088
Basilicata;PZ;Calvera;ITALGAS RETI S.P.A.;00489490011;807;Largo Regio Parco 11 - Torino ( Torino );http://www.italgas.it;800.900.999;Attivo;Gas naturale;0088
Basilicata;PZ;Carbone;ITALGAS RETI S.P.A.;00489490011;807;Largo Regio Parco 11 - Torino ( Torino );http://www.italgas.it;800.900.999;Attivo;Gas naturale;0088
Basilicata;PZ;Castronuovo di Sant'Andrea;MOLISE GESTIONI S.R.L.;00825150709;63;Via Vittorio Emanuele II 4/28 - Roncadelle ( Brescia );https://www.molisegestioni.it;800939319;Attivo;Gas naturale;0778
Basilicata;PZ;Cersosimo;ITALGAS RETI S.P.A.;00489490011;807;Largo Regio Parco 11 - Torino ( Torino );http://www.italgas.it;800.900.999;Attivo;Gas naturale;0088
Basilicata;PZ;Fardella;ITALGAS RETI S.P.A.;00489490011;807;Largo Regio Parco 11 - Torino ( Torino );http://www.italgas.it;800.900.999;Attivo;Gas naturale;0088
